iter	Passed	Remaining
346	1527	3753
347	1535	3759
348	1542	3762
349	1549	3763
350	1554	3759
351	1559	3755
352	1565	3757
353	1570	3753
354	1573	3746
355	1577	3738
356	1582	3736
357	1586	3730
358	1589	3722
359	1592	3715
360	1601	3721
361	1604	3715
362	1608	3707
363	1611	3700
364	1618	3702
365	1626	3706
366	1634	3709
367	1637	3701
368	1640	3694
369	1643	3687
370	1650	3687
371	1653	3680
372	1656	3673
373	1659	3666
374	1664	3661
375	1667	3653
376	1670	3646
377	1673	3639
378	1676	3632
379	1683	3632
380	1686	3624
381	1689	3617
382	1692	3610
383	1700	3612
384	1703	3605
385	1706	3598
386	1713	3598
387	1717	3593
388	1720	3586
389	1723	3578
390	1728	3577
391	1733	3574
392	1737	3566
393	1740	3559
394	1745	3556
395	1748	3549
396	1751	3541
397	1754	3534
398	1756	3527
399	1760	3521
400	1765	3516
401	1768	3510
402	1771	3503
403	1778	3504
404	1783	3499
405	1786	3493
406	1789	3486
407	1797	3488
408	1800	3482
409	1803	3475
410	1809	3474
411	1814	3471
412	1818	3464
413	1821	3457
414	1826	3455
415	1829	3448
416	1835	3445
417	1838	3439
418	1843	3435
419	1847	3430
420	1850	3423
421	1853	3417
422	1861	3420
423	1865	3413
424	1868	3407
425	1872	3401
426	1879	3403
